Größe	Vergleiche	Tauschungen
10	90	22
20	380	97
30	864	216
40	1553	385
50	2436	612
60	3510	884
70	4789	1185
80	6287	1571
90	7960	1992
100	9866	2513
110	11880	2968
120	14240	3599
130	16690	4199
140	19404	4895
150	22271	5659
160	25372	6371
170	28605	7126
180	32097	8112
190	35810	8860
200	39722	10045
