Größe	Vergleiche	Tauschungen
10	32	32
20	115	115
30	245	245
40	427	427
50	653	653
60	940	940
70	1287	1287
80	1655	1655
90	2103	2103
100	2560	2560
110	3108	3108
120	3674	3674
130	4305	4305
140	4969	4969
150	5744	5744
160	6521	6521
170	7382	7382
180	8191	8191
190	9203	9203
200	10076	10076
